bid,brewery,pid,person,status
100,Tommyknocker Brewery,1000,Alex Stanbury,past
101,WestFax,1001,Evan Beggs,past
101,WestFax,1000,Alex Stanbury,past
102,Lariat Lodge,1000,Alex Stanbury,current
103,Ratio Beerworks,1003,Bess Dougherty,past
103,Ratio Beerworks,1001,Evan Beggs,current
103,Ratio Beerworks,1002,John King,current
104,Prost Brewing,1004,Chrisopher O'Connor,current
104,Prost Brewing,1005,Andrew Martinez,past
104,Prost Brewing,1006,Matthew Gubanich,past
104,Prost Brewing,1008,Brad Landman,past
105,Sleeping Giant,1005,Andrew Martinez,past
105,Sleeping Giant,1004,Chrisopher O'Connor,past
106,Odell Brewing,1005,Andrew Martinez,past
107,Victory Brewing Company,1005,Andrew Martinez,past
108,Harpoon Brewery,1005,Andrew Martinez,past
110,Wynkoop,1010,Thomas Larsen,past
110,Wynkoop,1009,Jason zumBrunnen,past
110,Wynkoop,1008,Brad Landman,past
110,Wynkoop,1003,Bess Dougherty,past
111,The Grateful Gnome,1003,Bess Dougherty,past
112,Bruz Beers,1007,David Olson,current
113,Ursala Brewing,1007,David Olson,past
118,The Post,1008,Brad Landman,past
119,Mountain Sun,1008,Brad Landman,past
114,AC Golden Brewing,1009,Jason zumBrunnen,past
115,Great Divide Brewing,1010,Thomas Larsen,past
116,Ska Brewing,1010,Thomas Larsen,past
117,Highside Brewing,1010,Thomas Larsen,current
120,Avery Brewing,1011,Jon Cross,past
120,Avery Brewing,1012,Chris Bell,past
121,Call to Arms,1011,Jon Cross,past
109,Pushroot Brewing Company,1006,Matthew Gubanich,current
122,Long Trail Brewing Company,1012,Chris Bell,past
121,Call to Arms,1012,Chris Bell,current
123,Purpose Brewing,1013,Peter Bouckaert,current
124,New Belgium,1013,Peter Bouckaert,past
125,4 Noses Brewing Company,1014,Maxwell McAvoy,current
125,4 Noses Brewing Company,1015,Hannah Stultz,current
125,4 Noses Brewing Company,1016,Ryan Cartwright,current
125,4 Noses Brewing Company,1017,Andrew Faron,current
125,4 Noses Brewing Company,1018,Westin Ring,current
125,4 Noses Brewing Company,1019,Devin,current
104,Prost Brewing,1017,Andrew Faron,past
126,Los Dos Patrillos,1020,Robert Bell,current
127,Hogs Head Brewery,1020,Robert Bell,past
126,Los Dos Patrillos,1021,Chris Gillmore,current
128,Lone Tree Brewing,1021,Chris Gillmore,past
128,Lone Tree Brewing,1023,Steve Talarczyk,current
129,Crystal Spring,1018,Westin Ring,past
128,Lone Tree Brewing,1022,Dale Hollars,current
130,Fiction Brewing,1024,Dan Blie,past
130,Fiction Brewing,1025,Brittany Portman,past
103,Ratio Beerworks,1024,Dan Blie,current
131,Goldspot Brewing,1026,Kelissa Hieber,owns
131,Goldspot Brewing,1027,Robert Mack,past
131,Goldspot Brewing,1070,Jared King,current
131,Goldspot Brewing,1087,Sabrina L. Vo. Marr,intern
132,Twisted Pine,1027,Robert Mack,past
133,Gunanella Pass,1028,Jon Stother,past
134,Diebolt Brewing,1028,Jon Stother,current
135,Snowy Mountain Brewery,1029,Mike,owns
104,Prost Brewing,1030,Bud,past
136,Factotum,1031,Laura Bruns,owned
136,Factotum,1032,Chris Bruns,owned
103,Ratio Beerworks,1032,Chris Bruns,past
137,Joy Ride Brewing,1033,Kyle Creager,past
137,Joy Ride Brewing,1034,Dave Bergen,owns
103,Ratio Beerworks,1035,Gene Allday,past
